Trigger,Applies To,Learning Type,Sent To,Timestamp,Priority Level,Typical Response Time,Contextual Summary,Tone,Response Likelihood,Escalation Level,Feedback,Compliance Check,Actionable Links,Comments,Send Now,Employee Number,Previous Records Present,Most Active Day
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-10-22 09:51:02,Low,2,Summary of the pending request.,Neutral,0.9151264595935564,Level 2,Neutral,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,8311,Yes,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-27 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.2172692101775534,None,Positive,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",1,2759,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-04 09:51:02,High,4,Summary of the pending request.,Friendly,0.4843413855517203,Level 1,Negative,Fail,http://example.com/action,"Great reminder, very helpful!",0,8984,No,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-10 09:51:02,High,7,Summary of the pending request.,Urgent,0.1473539622457726,None,Positive,Fail,http://example.com/action,"This is an urgent matter, please address it immediately.",0,2460,No,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-03-07 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.0936952398615924,None,Negative,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,6811,No,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-09-13 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.7949755143536341,None,Positive,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",1,7645,Yes,Saturday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-11-14 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.3261829048573998,Level 2,Neutral,Pass,http://example.com/action,"Reminder received, will look into it.",0,6401,Yes,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-09-16 09:51:02,Medium,3,Summary of the pending request.,Neutral,0.2305380412985077,Level 2,Positive,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,1224,No,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-08 09:51:02,Low,5,Summary of the pending request.,Neutral,0.1283346107450138,Level 2,Negative,Pass,http://example.com/action,"Okay, I will check this out.",0,4368,No,Saturday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-07-18 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.3695270887388839,None,Neutral,Fail,http://example.com/action,Important to address this as soon as possible.,1,1125,No,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-18 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.4735188204122199,None,Neutral,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",1,9914,No,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-01 09:51:02,High,6,Summary of the pending request.,Friendly,0.0520856082432554,Level 1,Positive,Pass,http://example.com/action,Appreciate the clarity in this reminder.,0,8489,Yes,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-01-11 09:51:02,High,6,Summary of the pending request.,Urgent,0.908411445212606,None,Positive,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",0,1009,Yes,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-02-13 09:51:02,Medium,3,Summary of the pending request.,Urgent,0.964574623094794,Level 1,Neutral,Fail,http://example.com/action,"This is an urgent matter, please address it immediately.",1,4675,Yes,Sunday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-05-25 09:51:02,High,5,Summary of the pending request.,Urgent,0.4464410662486023,Level 2,Negative,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,5422,Yes,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-02-17 09:51:02,Low,4,Summary of the pending request.,Friendly,0.1696913961980547,None,Neutral,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,4812,No,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-22 09:51:02,High,3,Summary of the pending request.,Neutral,0.1802629228768446,None,Neutral,Fail,http://example.com/action,"Received the reminder, action pending.",1,7359,Yes,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-12-30 09:51:02,Medium,4,Summary of the pending request.,Friendly,0.5299918140030857,Level 1,Positive,Fail,http://example.com/action,"Always good to get these reminders, thank you!",0,3079,No,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-09-27 09:51:02,Medium,5,Summary of the pending request.,Friendly,0.7572827502575612,None,Negative,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,6299,No,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-02-01 09:51:02,Medium,5,Summary of the pending request.,Neutral,0.971078377613618,None,Negative,Pass,http://example.com/action,"Received the reminder, action pending.",0,2646,No,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-12-23 09:51:02,Medium,5,Summary of the pending request.,Friendly,0.273457536755423,None,Negative,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,9577,Yes,Thursday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-05-09 09:51:02,Low,2,Summary of the pending request.,Neutral,0.6604281371920366,None,Positive,Pass,http://example.com/action,"Noted, will review the details soon.",1,7988,Yes,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-10-19 09:51:02,High,4,Summary of the pending request.,Urgent,0.4549786727706703,Level 2,Neutral,Fail,http://example.com/action,"This is an urgent matter, please address it immediately.",0,5757,Yes,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-09-13 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.7949755143536341,None,Positive,Fail,http://example.com/action,Appreciate the clarity in this reminder.,1,7645,Yes,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-12-31 09:51:02,Medium,4,Summary of the pending request.,Neutral,0.6788977205595811,None,Negative,Fail,http://example.com/action,"Received the reminder, action pending.",0,2865,Yes,Monday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-28 09:51:02,High,2,Summary of the pending request.,Urgent,0.2367361842868705,Level 1,Positive,Fail,http://example.com/action,"Immediate action required, cannot delay!",1,6109,Yes,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-24 09:51:02,Low,6,Summary of the pending request.,Friendly,0.0714025095785483,Level 2,Positive,Pass,http://example.com/action,Appreciate the clarity in this reminder.,0,3125,Yes,Tuesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-31 09:51:02,High,2,Summary of the pending request.,Friendly,0.4209605569100791,None,Negative,Pass,http://example.com/action,"Great reminder, very helpful!",1,6984,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-11-14 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.3261829048573998,Level 2,Neutral,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",0,6401,Yes,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-03-04 09:51:02,Low,1,Summary of the pending request.,Friendly,0.0819834054948754,Level 2,Negative,Fail,http://example.com/action,Appreciate the clarity in this reminder.,1,2296,Yes,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-07-07 09:51:02,Medium,7,Summary of the pending request.,Friendly,0.6066615704797627,Level 1,Neutral,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,1876,Yes,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-18 09:51:02,Medium,2,Summary of the pending request.,Neutral,0.753756651781457,Level 1,Neutral,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",1,6975,No,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-13 09:51:02,Medium,6,Summary of the pending request.,Friendly,0.1944352367397093,Level 2,Neutral,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,2733,No,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-03 09:51:02,Medium,5,Summary of the pending request.,Urgent,0.8310467186381858,None,Positive,Fail,http://example.com/action,"This is an urgent matter, please address it immediately.",0,5225,Yes,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-22 09:51:02,Low,6,Summary of the pending request.,Urgent,0.6155149159513805,Level 1,Neutral,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",0,2761,No,Saturday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-01-24 09:51:02,High,3,Summary of the pending request.,Neutral,0.9039743381374582,None,Neutral,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,3371,Yes,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-14 09:51:02,High,7,Summary of the pending request.,Friendly,0.1911034307339109,Level 1,Positive,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,8783,No,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-11-06 09:51:02,Low,4,Summary of the pending request.,Friendly,0.9197697517413846,None,Neutral,Pass,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,1922,Yes,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-18 09:51:02,Low,4,Summary of the pending request.,Friendly,0.1822779984138732,None,Positive,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,9554,No,Thursday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-09-30 09:51:02,Medium,5,Summary of the pending request.,Neutral,0.6434932633613195,Level 1,Positive,Pass,http://example.com/action,"Okay, I will check this out.",0,7371,Yes,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-10-12 09:51:02,Low,7,Summary of the pending request.,Neutral,0.4500697572469081,None,Negative,Fail,http://example.com/action,"Noted, will review the details soon.",0,7986,No,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-01-15 09:51:02,Medium,4,Summary of the pending request.,Urgent,0.9488744859713144,Level 1,Negative,Fail,http://example.com/action,Please prioritize this as it's extremely urgent.,0,3739,No,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-06 09:51:02,Low,2,Summary of the pending request.,Neutral,0.7976855210314036,Level 2,Positive,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,8970,Yes,Friday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-03-28 09:51:02,Medium,3,Summary of the pending request.,Friendly,0.4724039070348806,Level 2,Positive,Pass,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,7490,Yes,Tuesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-01-22 09:51:02,Medium,3,Summary of the pending request.,Friendly,0.0637599121120832,None,Positive,Fail,http://example.com/action,"Great reminder, very helpful!",1,1688,Yes,Tuesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-09-27 09:51:02,High,6,Summary of the pending request.,Friendly,0.0588737668763234,None,Positive,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,8673,No,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-18 09:51:02,Low,2,Summary of the pending request.,Neutral,0.919541620668976,Level 2,Negative,Pass,http://example.com/action,"Okay, I will check this out.",1,5324,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-31 09:51:02,Medium,7,Summary of the pending request.,Friendly,0.7598771496077484,Level 1,Negative,Fail,http://example.com/action,"Great reminder, very helpful!",0,1950,No,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-06-08 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.0157317668692197,Level 2,Negative,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,6797,Yes,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-09 09:51:02,Medium,7,Summary of the pending request.,Friendly,0.2667206958021826,None,Negative,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,8790,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-10-29 09:51:02,Medium,1,Summary of the pending request.,Friendly,0.1144140724300796,Level 2,Negative,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",1,3192,Yes,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-11-14 09:51:02,Medium,3,Summary of the pending request.,Neutral,0.4931239422107847,None,Positive,Fail,http://example.com/action,"Received the reminder, action pending.",1,4300,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-01-07 09:51:02,Medium,3,Summary of the pending request.,Urgent,0.9241592666085664,Level 2,Neutral,Pass,http://example.com/action,Important to address this as soon as possible.,1,2481,Yes,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-11-01 09:51:02,Low,5,Summary of the pending request.,Neutral,0.950039608443156,Level 1,Negative,Fail,http://example.com/action,"Received the reminder, action pending.",0,7767,Yes,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-03-03 09:51:02,Low,7,Summary of the pending request.,Urgent,0.032217314909981,Level 2,Neutral,Pass,http://example.com/action,"Immediate action required, cannot delay!",0,7704,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-21 09:51:02,Low,5,Summary of the pending request.,Neutral,0.9662681532059472,None,Negative,Pass,http://example.com/action,"Noted, will review the details soon.",0,3891,Yes,Sunday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-11-03 09:51:02,High,2,Summary of the pending request.,Urgent,0.7544358791249854,None,Negative,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,9135,No,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-12-29 09:51:02,High,1,Summary of the pending request.,Neutral,0.0916734238175208,None,Negative,Pass,http://example.com/action,"Noted, will review the details soon.",1,3136,No,Tuesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-02-25 09:51:02,Medium,6,Summary of the pending request.,Friendly,0.5931342503922638,Level 2,Negative,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,8667,No,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-12-31 09:51:02,High,7,Summary of the pending request.,Friendly,0.2052055751428764,Level 2,Positive,Pass,http://example.com/action,"Great reminder, very helpful!",0,7943,Yes,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-02-01 09:51:02,Low,3,Summary of the pending request.,Friendly,0.7564431540555737,Level 2,Neutral,Pass,http://example.com/action,Appreciate the clarity in this reminder.,1,9512,No,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-14 09:51:02,Low,5,Summary of the pending request.,Urgent,0.4520054199087522,None,Negative,Pass,http://example.com/action,Important to address this as soon as possible.,0,6142,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-27 09:51:02,Medium,3,Summary of the pending request.,Friendly,0.990031260466798,Level 1,Negative,Pass,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,5234,No,Tuesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-09-15 09:51:02,Low,4,Summary of the pending request.,Neutral,0.005896083583993,Level 1,Neutral,Fail,http://example.com/action,"Reminder received, will look into it.",0,3590,Yes,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-27 09:51:02,Medium,2,Summary of the pending request.,Urgent,0.0968116525605714,Level 1,Neutral,Fail,http://example.com/action,"Immediate action required, cannot delay!",1,4072,No,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-06 09:51:02,Low,4,Summary of the pending request.,Urgent,0.2007947946500762,Level 2,Neutral,Fail,http://example.com/action,Please prioritize this as it's extremely urgent.,0,7941,No,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-09 09:51:02,Medium,5,Summary of the pending request.,Friendly,0.6725206037654493,Level 1,Negative,Pass,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,5662,Yes,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-02-25 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.2246973370315573,Level 1,Positive,Pass,http://example.com/action,"Immediate action required, cannot delay!",1,4345,Yes,Thursday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-10-18 09:51:02,High,7,Summary of the pending request.,Urgent,0.8857903856181051,Level 1,Neutral,Fail,http://example.com/action,"Immediate action required, cannot delay!",0,3443,Yes,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-09-18 09:51:02,High,6,Summary of the pending request.,Neutral,0.8502932390887963,Level 2,Positive,Pass,http://example.com/action,"Reminder received, will look into it.",0,9837,Yes,Saturday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-06-21 09:51:02,Low,2,Summary of the pending request.,Friendly,0.3829708489296022,Level 1,Positive,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,2604,No,Saturday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-04 09:51:02,High,3,Summary of the pending request.,Neutral,0.4139301705786246,Level 2,Positive,Pass,http://example.com/action,"Reminder received, will look into it.",1,3065,No,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-01-06 09:51:02,High,3,Summary of the pending request.,Friendly,0.2984991611902939,Level 1,Neutral,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",1,8973,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-27 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.2172692101775534,None,Positive,Fail,http://example.com/action,"Always good to get these reminders, thank you!",1,2759,Yes,Saturday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-02-13 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.5088720150695117,Level 1,Neutral,Fail,http://example.com/action,"Reminder received, will look into it.",0,3824,No,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-12-11 09:51:02,Low,3,Summary of the pending request.,Urgent,0.7906819685889375,None,Neutral,Pass,http://example.com/action,"Immediate action required, cannot delay!",1,3898,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-06-23 09:51:02,Medium,4,Summary of the pending request.,Friendly,0.5309219311457678,Level 1,Negative,Fail,http://example.com/action,"Great reminder, very helpful!",0,9915,Yes,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-05 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.381364297657629,Level 1,Negative,Fail,http://example.com/action,Important to address this as soon as possible.,1,6951,Yes,Friday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-02-11 09:51:02,High,1,Summary of the pending request.,Friendly,0.0679608633757572,None,Neutral,Pass,http://example.com/action,"Always good to get these reminders, thank you!",1,2976,No,Saturday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-05-02 09:51:02,High,4,Summary of the pending request.,Neutral,0.5569850322212279,Level 2,Neutral,Pass,http://example.com/action,"Noted, will review the details soon.",0,9519,Yes,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-12-29 09:51:02,Medium,5,Summary of the pending request.,Urgent,0.3957666968593329,Level 1,Negative,Fail,http://example.com/action,Please prioritize this as it's extremely urgent.,0,1419,No,Monday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-11-19 09:51:02,Low,6,Summary of the pending request.,Neutral,0.8117692852773923,Level 2,Positive,Fail,http://example.com/action,"Noted, will review the details soon.",0,2997,Yes,Saturday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-09-29 09:51:02,High,1,Summary of the pending request.,Friendly,0.4345637585646443,Level 2,Neutral,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,7738,Yes,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-10-22 09:51:02,Low,2,Summary of the pending request.,Neutral,0.9151264595935564,Level 2,Neutral,Fail,http://example.com/action,"Reminder received, will look into it.",1,8311,Yes,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-02-13 09:51:02,Medium,3,Summary of the pending request.,Urgent,0.964574623094794,Level 1,Neutral,Fail,http://example.com/action,Please prioritize this as it's extremely urgent.,1,4675,Yes,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-12-31 09:51:02,High,7,Summary of the pending request.,Friendly,0.2052055751428764,Level 2,Positive,Pass,http://example.com/action,"Always good to get these reminders, thank you!",0,7943,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-12-08 09:51:02,High,7,Summary of the pending request.,Friendly,0.2984447914486329,Level 2,Negative,Pass,http://example.com/action,Appreciate the clarity in this reminder.,0,3797,Yes,Friday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-08-18 09:51:02,Low,1,Summary of the pending request.,Neutral,0.5757967284124141,Level 1,Neutral,Pass,http://example.com/action,"Okay, I will check this out.",1,6966,Yes,Monday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-01-08 09:51:02,Medium,3,Summary of the pending request.,Neutral,0.3987301842569533,Level 2,Positive,Fail,http://example.com/action,"Reminder received, will look into it.",1,2248,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-06-08 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.0157317668692197,Level 2,Negative,Fail,http://example.com/action,"Reminder received, will look into it.",0,6797,Yes,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-04 09:51:02,Low,4,Summary of the pending request.,Friendly,0.9402918917795542,None,Negative,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",0,8546,Yes,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-12-23 09:51:02,Medium,5,Summary of the pending request.,Friendly,0.273457536755423,None,Negative,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,9577,Yes,Saturday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-06-26 09:51:02,Low,6,Summary of the pending request.,Urgent,0.8926598262113665,None,Neutral,Pass,http://example.com/action,"Immediate action required, cannot delay!",0,2605,No,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-11 09:51:02,High,3,Summary of the pending request.,Neutral,0.3403388431642836,Level 2,Negative,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,1846,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-23 09:51:02,Low,1,Summary of the pending request.,Urgent,0.075243860073767,Level 2,Positive,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",1,8561,No,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-09-15 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.7073086437060769,Level 1,Positive,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,3551,No,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-13 09:51:02,Medium,7,Summary of the pending request.,Urgent,0.0930533505546716,None,Neutral,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,0,7469,Yes,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-22 09:51:02,High,6,Summary of the pending request.,Friendly,0.9052075743133589,None,Negative,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",0,4310,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-17 09:51:02,Medium,3,Summary of the pending request.,Urgent,0.2109828435863264,Level 2,Negative,Fail,http://example.com/action,Important to address this as soon as possible.,1,7809,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-19 09:51:02,Medium,4,Summary of the pending request.,Urgent,0.2441974321839684,Level 1,Negative,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",0,9162,Yes,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-13 09:51:02,Medium,7,Summary of the pending request.,Urgent,0.0930533505546716,None,Neutral,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,0,7469,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-01-26 09:51:02,Medium,2,Summary of the pending request.,Neutral,0.5892656838759087,None,Positive,Fail,http://example.com/action,"Reminder received, will look into it.",1,1302,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-12-17 09:51:02,Low,4,Summary of the pending request.,Neutral,0.0296256589451651,Level 1,Neutral,Fail,http://example.com/action,"Noted, will review the details soon.",0,8643,Yes,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-28 09:51:02,High,1,Summary of the pending request.,Neutral,0.60829742363344,None,Positive,Fail,http://example.com/action,"Received the reminder, action pending.",1,3190,No,Saturday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-31 09:51:02,Medium,6,Summary of the pending request.,Urgent,0.7669590009163111,Level 1,Negative,Pass,http://example.com/action,"Immediate action required, cannot delay!",0,4417,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-11-01 09:51:02,Low,7,Summary of the pending request.,Urgent,0.7618596199711071,Level 2,Negative,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",0,3713,Yes,Sunday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-12-31 09:51:02,Medium,4,Summary of the pending request.,Neutral,0.6788977205595811,None,Negative,Fail,http://example.com/action,"Reminder received, will look into it.",0,2865,Yes,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-07-22 09:51:02,High,5,Summary of the pending request.,Friendly,0.1140266398385525,Level 2,Positive,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,3204,Yes,Sunday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-07 09:51:02,Low,3,Summary of the pending request.,Friendly,0.962029072823442,Level 2,Neutral,Fail,http://example.com/action,"Always good to get these reminders, thank you!",1,4391,No,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-03-15 09:51:02,Medium,5,Summary of the pending request.,Friendly,0.6681884704454936,Level 1,Positive,Fail,http://example.com/action,"Always good to get these reminders, thank you!",0,5289,No,Tuesday
